N,name,price,url,pages,size1,size2,size3,weight,cover,year,description,page_price,disc_short
6,"Я буду толкать тебя. История о путешествии в 800 км, о двух лучших друзьях и одной инвалидной коляске",104.0,https://www.chitai-gorod.ru/product/ya-budu-tolkat-tebya-istoriya-o-puteshestvii-v-800-km-o-dvuh-luchshih-druzyah-i-odnoy-invalidnoy-kolyaske-2768297,320.0,2.2,14.5,20.8,379,Твёрдый переплёт,2019.0,"Патрик Грей и Джастин Скисак — лучшие друзья, знакомые с детства. Они родились с разницей в пару дней, росли в нескольких километрах друг от друга; вместе учились, занимались спортом, влюблялись и взрослели. Сегодня их дружбе уже почти 40 лет, и от сотен других аналогичных историй их отличает одно обстоятельство: они вместе преодолели паломнический путь в Испании длиной в 800 километров, причем один из них — в инвалидной коляске. «Я буду толкать тебя» — история о нереальной выдержке, силе духа и искренней любви, основанная на одноименном фильме о приключениях двух друзей на Камино-де-Сантьяго. Авторы живо, эмоционально и непосредственно рассказывают о самом Пути и о событиях, которые привели их в нужное время в нужное место. Иистория Джастина и Патрика вдохновляет на свершения и перемены в жизни, мотивирует на преодоление трудностей, подчеркивая как важны взаимопомощь и поддержка.",0.325,"«Я буду толкать тебя» — история, основанная на одноименном фильме о приключениях двух друзей."
7,Таежный тупик. История семьи староверов Лыковых,254.0,https://www.chitai-gorod.ru/product/taezhnyy-tupik-istoriya-semi-staroverov-lykovyh-3058031,384.0,1.7,11.5,18.0,200,Мягкий переплёт,2024.0,"Василий Михайлович Песков (1930–2013) — журналист, фотограф, путешественник и ведущий одной из самых любимых программ советского телевидения — «В мире животных». Его очерки о природе родной страны снискали ему любовь миллионов читателей. Путевым заметкам и репортажам В. М. Пескова свойственна трогательная поэтизация окружающего пространства, будь то деревенский или таежный быт, жизнь лесных обитателей или ледяные просторы Арктики. Когда в 1978 году геологи случайно обнаружили на реке Абакан заимку отшельников Лыковых, Василий Михайлович Песков был первым репортером, осветившим эту историю, и с тех пор не оставлял таежных «робинзонов» своим вниманием, сделавшись летописцем семьи. Его очерки вызвали огромный резонанс в советской прессе и принесли автору мировую известность. Удивительная история старообрядцев Лыковых и их младшей дочери Агафьи стала своеобразным документом эпохи, который вскрыл огромный пласт народной истории страны.",0.6614583333333334,"В мире животных — писатель, путешественник. Его очерки о природе родной страны снискали ему любовь миллионов читателей."
24,"#MeToo. Расследование, уничтожившее Харви Вайнштейна",116.0,https://www.chitai-gorod.ru/product/metoo-rassledovanie-unichtozhivshee-harvi-vaynshteyna-2822797,384.0,2.1,13.0,20.5,360,Твёрдый переплёт,2020.0,"В 2017 году в ""Нью-Йорк таймс"" вышла статья о продюсере Харви Вайнштейне, в которой освещались систематические случаи выплат денег жертвам его сексуальных домогательств. Статья произвела эффект разорвавшейся бомбы — десятки голливудских актрис и других сотрудниц киностудии ""Мирамакс"" начали говорить открыто о случаях харассмента. Расследование положило начало движению #MeToo: Америка, а за ней и весь мир, осознала, что харассмент — глобальная проблема, пронизывающая все сферы общества, а Вайнштейн, который еще вчера был самым влиятельным человеком Голливуда, был приговорён к 23 годам тюремного заключения. Журналистки Джоди Кантор и Меган Тухи, написавшие сенсационную статью, рассказывают, как проходило их расследование. Как выявлялись случаи домогательств, положившие конец карьере многих женщин; как тяжело было уговорить голливудских актрис поделиться своей историей; и как Вайнштейн саботировал их работу, нанимая юристов и шпионов. Почти детективная, эта книга мгновенно стала образцом безупречного журналистского расследования и изменила ход современной истории.",0.3020833333333333,"Журналистки Джоди Кантор и Меган Тухи написали сенсационную статью о продюсере Харви Вайнштейне, который был приговорён к 23 годам тюремного заключения."
28,Введение в философию,344.0,https://www.chitai-gorod.ru/product/vvedenie-v-filosofiyu-2997308,480.0,1.8,11.5,18.0,250,Мягкий переплёт,2024.0,"Мераб Константинович Мамардашвили (1930–1990) — один из наиболее значительных мыслителей второй половины ХХ века. В настоящее издание вошли два курса лекций, прочитанных М. К. Мамардашвили во ВГИКе в 1979–1980 годах под общим названием «Введение в философию». Из всего наследия автора эти лекции являются наиболее доступными и понятными широкому кругу читателей. В книге анализируются природа, характер и цели философского мышления. На примерах, приводимых из истории философии, показывается, почему и как строится отвлеченный аппарат философского рассуждения и языка, какие проблемы существования предполагают в человеческих культурах и личности развитие навыка и умения философствовать, в чем заключается различие между реальной философией и философией учений и систем.",0.7166666666666667,"В настоящее издание вошли два курса лекций, прочитанных М. К. Мамардашвили в 1979–1980 годах под общим названием «Введение в философию»."
38,От Руси до России,308.0,https://www.chitai-gorod.ru/product/ot-rusi-do-rossii-2991981,384.0,2.5,13.0,20.5,300,Твёрдый переплёт,2024.0,"Лев Николаевич Гумилев (1912—1992) — блестящий русский ученый, историк, этнограф и мыслитель, автор оригинальной концепции исторического процесса — теории «пассионарности». В своем знаменитом труде «От Руси до России» он рассматривает становление нашего государства со времен Рюрика до правления Петра I через призму разработанной им концепции, уделяя большое внимание влиянию степной культуры. Данное исследование написано увлекательным «экспериментальным» стилем и будет полезно всем интересующимся российской историей и культурой.",0.8020833333333334,"Лев Николаевич Гумилев (1912—1992) — блестящий русский ученый, историк, этнограф и мыслитель."
45,Теория праздного класса,278.0,https://www.chitai-gorod.ru/product/teoriya-prazdnogo-klassa-2942294,416.0,2.7,11.5,18.0,250,Мягкий переплёт,2022.0,"Торстейн Веблен (1857 - 1929) - американский экономист, социолог и публицист, доктор философии, преподавал в Корнеллском, Чикагском, Стэндфордском университетах. ""Теория праздного класса"" - знаковая работа Т. Веблена. Основной материал для исследования он черпал из действительности того времени - эпохи трущоб и дворцов в Чикаго. В этой книге автор впервые вводит само понятие ""праздного класса"", который отличается демонстрацией своих возможностей, высокого положения в иерархии. Веблен назвал это демонстративной праздностью и демонстративным потреблением, когда человек стремится не столько к экономической, сколько к социальной выгоде, приобретая не практичные, а статусные вещи.",0.6682692307692307,"""Теория праздного класса"" - американский экономист, социолог и публицист Торстейн Веблен."
51,"Зловещая долина. Что я увидела, попав в IT-индустрию",103.0,https://www.chitai-gorod.ru/product/zloveshchaya-dolina-chto-ya-uvidela-popav-v-it-industriyu-2768809,352.0,2.0,13.0,20.5,340,,2020.0,"Анне Винер 25 лет, она выпускница факультета филологии, работает в издательстве и с небольшой тревогой наблюдает, как меняется книжный рынок под влиянием гигантов онлайн-торговли. Судьба подкидывает ей шанс: присоединиться к стартапу для чтения электронных книг по подписке. Так Анна попадает в Кремниевую долину — в мир сюрреалистической расточительности, сомнительного успеха и новых предпринимателей, одержимых господством, славой и прогрессом. Но все обычно имеет свою темную сторону — и за ярким и креативным фасадом индустрии явственно маячит тень всеобщей слежки, а вера в амбициозных, высокомерных молодых недоучек становится глобальным бедствием... Глубоко личная и при этом универсальная история поколения Y и его взросления на фоне разворачивающегося ""цифрового века"". Это история о конфликте между старым и новым, между искусством и технологией, между поиском денег и поиском смысла — о том, как наш мир меняется навсегда.",0.29261363636363635,История поколения Y.
85,В диких условиях,326.0,https://www.chitai-gorod.ru/product/v-dikih-usloviyah-2467306,416.0,2.0,11.5,18.0,239,Мягкий переплёт,2023.0,"В апреле 1992 года молодой человек из обеспеченной семьи добирается автостопом до Аляски, где в полном одиночестве, добывая пропитание охотой и собирательством, живет в заброшенном автобусе – в совершенно диких уловиях.. Реальная история Криса Маккэндлесса стала известной на весь мир благодаря мастерству известного писателя Джона Кракауэра и блестящей экранизации Шона Пенна. Знаменитый актер и режиссер прочитал книгу за одну ночь и затем в течение 10 лет добивался от родственников Криса разрешения на съемку фильма, который впоследствии получил множество наград и по праву считается культовым. Заброшенный автобус посреди Аляски стал настоящей меккой для путешественников, а сам Крис – кумиром у молодых противников серой офисной жизни и материальных ценностей. Во всем мире было продано более 2,5 миллионов копий. .",0.7836538461538461,В апреле 1992 года молодой человек из обеспеченной семьи добирается в заброшенный автобус посреди Аляски.
86,"Осколки мыслей, записанные в последнюю треть года Желтой Земляной Свиньи",114.0,https://www.chitai-gorod.ru/product/oskolki-mysley-zapisannye-v-poslednyuyu-tret-goda-zheltoy-zemlyanoy-svini-2797037,512.0,2.8,13.0,20.7,460,Твёрдый переплёт,2020.0,"Евгений Сатановский — предприниматель и меценат, президент Института Ближнего Востока и профессор ИСАА МГУ, экс-президент Российского еврейского конгресса, журналист и писатель, ведущий популярной программы ""От трёх до пяти"" на радиостанции ""Вести ФМ"". • Сколько Большие Начальники будут пугать народ безработицей и не пора бы им перестать? • О модернизации, оптимизации и реструктуризации всего сущего • Кому на Руси жить хорошо и где вообще кому-нибудь жить хорошо • Кто в России бессмертнее: правительство или Кащей? • Об оппозиции и критике властей, конструктивной, не очень и той, которая ни в какие ворота 11 сентября 2019 года — годовщина теракта в Соединённых Штатах и Усекновение главы Иоанна Крестителя. Начал работать телеграмм-канал автора ""Армагеддоныч"". Каждый день пишутся тексты, по три за раз. День за днём, неделя за неделей, месяц за месяцем. Цензуры никакой. Пишешь, как акын: что видишь, про то поёшь. Окружающая жизнь разворачивается, как лента Мёбиуса. Хочешь сей, а хочешь куй, всё равно получишь, что получишь. Раньше обещали коммунизм, теперь ничего не обещают. Смотришь вокруг — правительство буксует, чиновники воруют, как подорванные. В церковь ходят, но из десяти библейских заповедей ту, которая на счет: ""Не желай дома ближнего твоего; не желай жены ближнего твоего, ни раба его, ни рабыни его, ни вола его, ни осла его, ничего, что у ближнего твоего"" (св. Амвросий Медиоланский), они либо изъяли, либо интерпретировали так, что отсутствие там слов про бюджеты федеральные, муниципальные, национальные проекты и программы, делает любое действие в отношении них позволительным. При этом и на постсоветском пространстве, а также в США, Европе и Израиле всё построено не умнее. Везде свои тараканы. Пишешь-пишешь, и вдруг оп-паньки — правительство сменили. Премьер не Медведев, а Мишустин. Как раз к китайскому Новому году. Так что можно и книгу издавать. Прощай, год Жёлтой земляной свиньи. Здравствуй, белая стальная крыса!",0.22265625,"Журналист Евгений Сатановский: ""Не желай дома ближнего твоего, ни раба его, ни рабыни его"""
88,Хроника текущих событий первой трети года Белой Стальной Крысы,143.0,https://www.chitai-gorod.ru/product/hronika-tekushchih-sobytiy-pervoy-treti-goda-beloy-stalnoy-krysy-2812749,608.0,3.2,13.0,20.7,529,Твёрдый переплёт,2020.0,"Евгений Сатановский — предприниматель и меценат, президент Института Ближнего Востока и профессор ИСАА МГУ, экс-президент Российского еврейского конгресса, журналист и писатель, ведущий программы ""От трёх до пяти"" на радиостанции ""Вести ФМ"" и автор телеграм-канала ""Армагеддоныч"". Раз правительство, два правительство. От Медведева к Мишустину без перерыва на обед. О пользе нефтяных переговоров для организации мирового экономического кризиса. Украина, Польша и Прибалтика — последняя надежда Европы против России. Израиль, США, ЕС и прочие в эпоху коронавируса. О трубопроводах, санкциях и нулевых шансах на выполнение Минских соглашений.",0.23519736842105263,"Российский президент Евгений Сатановский: ""Россия, Польша и Прибалтика — последняя надежда Европы против России"""
